Bank Name,Market Cap,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
JPMorgan Chase,4329.0,3463.2,4025.97,359090.55
Bank of America,2315.0,1852.0,2152.95,192029.25
Industrial and Commercial Bank of China,1945.0,1556.0,1808.85,161337.75
Agricultural Bank of China,1606.0,1284.8,1493.58,133217.7
HDFC Bank,1579.0,1263.2,1468.47,130978.05
Wells Fargo,1558.0,1246.4,1448.94,129236.1
HSBC Holdings PLC,1489.0,1191.2,1384.77,123512.55
Morgan Stanley,1408.0,1126.4,1309.44,116793.6
China Construction Bank,1398.0,1118.4,1300.14,115964.1
Bank of China,1368.0,1094.4,1272.24,113475.6
